Wavelength_nm,n_eff,k_eff
600.0,4.411571,1.596047
605.1,4.422191,1.572920
610.1,4.432779,1.549813
615.2,4.443337,1.526726
620.2,4.453864,1.503659
625.3,4.464360,1.480611
630.3,4.474824,1.457581
635.4,4.485258,1.434568
640.4,4.495661,1.411574
645.5,4.506033,1.388596
650.5,4.515807,1.365526
655.6,4.520419,1.341497
660.6,4.524943,1.317500
665.7,4.529377,1.293532
670.7,4.533723,1.269593
675.8,4.537981,1.245683
680.8,4.542150,1.221800
685.9,4.546232,1.197943
690.9,4.550226,1.174111
696.0,4.554132,1.150304
701.0,4.557471,1.127859
706.1,4.558857,1.110784
711.1,4.560247,1.093718
716.2,4.561642,1.076662
721.2,4.563042,1.059616
726.3,4.564445,1.042581
731.3,4.565853,1.025555
736.4,4.567264,1.008540
741.4,4.568680,0.991535
746.5,4.570099,0.974540
751.5,4.570523,0.957081
756.6,4.568622,0.938535
761.6,4.566727,0.920016
766.7,4.564839,0.901523
771.7,4.562956,0.883057
776.8,4.561079,0.864617
781.8,4.559207,0.846204
786.9,4.557339,0.827817
791.9,4.555476,0.809457
797.0,4.553618,0.791123
802.0,4.550102,0.775212
807.1,4.544104,0.762925
812.1,4.538116,0.750669
817.2,4.532136,0.738444
822.2,4.526165,0.726251
827.3,4.520203,0.714088
832.3,4.514249,0.701957
837.4,4.508304,0.689858
842.4,4.502366,0.677790
847.5,4.496436,0.665753
852.5,4.490926,0.653690
857.6,4.485820,0.641600
862.6,4.480702,0.629540
867.7,4.475572,0.617511
872.7,4.470428,0.605512
877.8,4.465271,0.593544
882.8,4.460100,0.581606
887.9,4.454916,0.569698
892.9,4.449719,0.557820
898.0,4.444507,0.545972
903.0,4.440141,0.535341
908.1,4.436345,0.525510
913.1,4.432552,0.515683
918.2,4.428760,0.505859
923.2,4.424971,0.496038
928.3,4.421183,0.486221
933.3,4.417398,0.476407
938.4,4.413614,0.466597
943.4,4.409833,0.456790
948.5,4.406053,0.446987
953.5,4.400066,0.436819
958.6,4.393127,0.426503
963.6,4.386181,0.416195
968.7,4.379229,0.405897
973.7,4.372270,0.395609
978.8,4.365305,0.385330
983.8,4.358333,0.375060
988.9,4.351355,0.364800
993.9,4.344370,0.354550
999.0,4.337378,0.344308
1004.0,4.333226,0.338731
1009.1,4.329790,0.334321
1014.1,4.326361,0.329913
1019.2,4.322937,0.325507
1024.2,4.319520,0.321103
1029.3,4.316109,0.316701
1034.3,4.312705,0.312301
1039.4,4.309306,0.307903
1044.4,4.305914,0.303508
1049.5,4.302528,0.299114
1054.5,4.299457,0.297600
1059.6,4.296418,0.296405
1064.6,4.293375,0.295208
1069.7,4.290330,0.294011
1074.7,4.287283,0.292813
1079.8,4.284232,0.291615
1084.8,4.281179,0.290415
1089.9,4.278122,0.289215
1094.9,4.275063,0.288013
1100.0,4.272001,0.286811
