Wavelength_nm,n_eff,k_eff
600.0,4.347161,1.424368
605.1,4.355477,1.401835
610.1,4.363770,1.379323
615.2,4.372038,1.356833
620.2,4.380283,1.334362
625.3,4.388503,1.311912
630.3,4.396700,1.289481
635.4,4.404872,1.267069
640.4,4.413020,1.244675
645.5,4.421144,1.222300
650.5,4.428591,1.199858
655.6,4.430114,1.176697
660.6,4.431566,1.153572
665.7,4.432947,1.130482
670.7,4.434257,1.107427
675.8,4.435496,1.084406
680.8,4.436664,1.061417
685.9,4.437762,1.038460
690.9,4.438791,1.015534
696.0,4.439749,0.992639
701.0,4.440572,0.971147
706.1,4.441108,0.955170
711.1,4.441650,0.939201
716.2,4.442196,0.923240
721.2,4.442747,0.907287
726.3,4.443302,0.891341
731.3,4.443862,0.875404
736.4,4.444426,0.859474
741.4,4.444995,0.843553
746.5,4.445567,0.827639
751.5,4.445077,0.811401
756.6,4.442102,0.794405
761.6,4.439136,0.777429
766.7,4.436177,0.760475
771.7,4.433225,0.743542
776.8,4.430281,0.726630
781.8,4.427343,0.709739
786.9,4.424412,0.692870
791.9,4.421487,0.676023
797.0,4.418568,0.659197
802.0,4.414094,0.644821
807.1,4.407287,0.634112
812.1,4.400491,0.623428
817.2,4.393705,0.612769
822.2,4.386929,0.602135
827.3,4.380163,0.591526
832.3,4.373407,0.580941
837.4,4.366660,0.570382
842.4,4.359922,0.559848
847.5,4.353193,0.549339
852.5,4.346720,0.538658
857.6,4.340490,0.527807
862.6,4.334252,0.516981
867.7,4.328006,0.506182
872.7,4.321752,0.495409
877.8,4.315490,0.484661
882.8,4.309219,0.473939
887.9,4.302940,0.463243
892.9,4.296652,0.452572
898.0,4.290354,0.441926
903.0,4.285415,0.432231
908.1,4.281386,0.423159
913.1,4.277359,0.414091
918.2,4.273334,0.405024
923.2,4.269311,0.395961
928.3,4.265290,0.386900
933.3,4.261271,0.377842
938.4,4.257253,0.368786
943.4,4.253237,0.359734
948.5,4.249223,0.350684
953.5,4.242756,0.341305
958.6,4.235233,0.331792
963.6,4.227705,0.322286
968.7,4.220173,0.312789
973.7,4.212636,0.303301
978.8,4.205095,0.293820
983.8,4.197549,0.284347
988.9,4.189998,0.274883
993.9,4.182443,0.265426
999.0,4.174883,0.255978
1004.0,4.170620,0.251155
1009.1,4.167187,0.247489
1014.1,4.163759,0.243825
1019.2,4.160337,0.240161
1024.2,4.156919,0.236499
1029.3,4.153507,0.232838
1034.3,4.150100,0.229178
1039.4,4.146698,0.225520
1044.4,4.143301,0.221863
1049.5,4.139909,0.218207
1054.5,4.136560,0.216812
1059.6,4.133212,0.215667
1064.6,4.129863,0.214522
1069.7,4.126511,0.213377
1074.7,4.123156,0.212231
1079.8,4.119800,0.211084
1084.8,4.116441,0.209938
1089.9,4.113079,0.208790
1094.9,4.109716,0.207642
1100.0,4.106350,0.206494
