Wavelength_nm,n_eff,k_eff
600.0,4.273391,1.268875
605.1,4.279735,1.247152
610.1,4.286062,1.225448
615.2,4.292373,1.203763
620.2,4.298668,1.182095
625.3,4.304947,1.160446
630.3,4.311208,1.138814
635.4,4.317453,1.117199
640.4,4.323681,1.095601
645.5,4.329892,1.074019
650.5,4.335363,1.052406
655.6,4.334288,1.030395
660.6,4.333161,1.008419
665.7,4.331983,0.986478
670.7,4.330754,0.964569
675.8,4.329474,0.942693
680.8,4.328144,0.920849
685.9,4.326762,0.899035
690.9,4.325331,0.877251
696.0,4.323848,0.855497
701.0,4.322608,0.835124
706.1,4.322516,0.820179
711.1,4.322428,0.805239
716.2,4.322345,0.790305
721.2,4.322265,0.775376
726.3,4.322190,0.760453
731.3,4.322119,0.745535
736.4,4.322052,0.730623
741.4,4.321989,0.715717
746.5,4.321930,0.700817
751.5,4.320766,0.685720
756.6,4.317022,0.670165
761.6,4.313285,0.654624
766.7,4.309556,0.639100
771.7,4.305835,0.623590
776.8,4.302120,0.608097
781.8,4.298412,0.592618
786.9,4.294710,0.577156
791.9,4.291015,0.561709
797.0,4.287326,0.546278
802.0,4.282177,0.533311
807.1,4.274837,0.524033
812.1,4.267507,0.514772
817.2,4.260186,0.505530
822.2,4.252875,0.496305
827.3,4.245573,0.487099
832.3,4.238280,0.477911
837.4,4.230996,0.468741
842.4,4.223720,0.459589
847.5,4.216453,0.450455
852.5,4.209290,0.441043
857.6,4.202222,0.431354
862.6,4.195150,0.421685
867.7,4.188073,0.412036
872.7,4.180992,0.402407
877.8,4.173907,0.392798
882.8,4.166816,0.383209
887.9,4.159721,0.373639
892.9,4.152621,0.364089
898.0,4.145516,0.354558
903.0,4.140168,0.345709
908.1,4.135995,0.337307
913.1,4.131824,0.328906
918.2,4.127655,0.320508
923.2,4.123486,0.312111
928.3,4.119320,0.303717
933.3,4.115155,0.295324
938.4,4.110991,0.286933
943.4,4.106829,0.278544
948.5,4.102669,0.270157
953.5,4.095859,0.261496
958.6,4.087912,0.252723
963.6,4.079961,0.243957
968.7,4.072008,0.235197
973.7,4.064052,0.226443
978.8,4.056092,0.217695
983.8,4.048130,0.208954
988.9,4.040165,0.200219
993.9,4.032196,0.191490
999.0,4.024225,0.182768
1004.0,4.019926,0.178589
1009.1,4.016549,0.175546
1014.1,4.013176,0.172503
1019.2,4.009807,0.169461
1024.2,4.006442,0.166419
1029.3,4.003080,0.163378
1034.3,3.999723,0.160338
1039.4,3.996369,0.157299
1044.4,3.993020,0.154260
1049.5,3.989674,0.151222
1054.5,3.986109,0.149954
1059.6,3.982518,0.148881
1064.6,3.978926,0.147809
1069.7,3.975331,0.146736
1074.7,3.971735,0.145663
1079.8,3.968138,0.144589
1084.8,3.964538,0.143516
1089.9,3.960937,0.142442
1094.9,3.957334,0.141368
1100.0,3.953729,0.140293
