Wavelength_nm,n_eff,k_eff
600.0,4.510217,2.204658
605.1,4.529493,2.182192
610.1,4.548737,2.159728
615.2,4.567950,2.137265
620.2,4.587132,2.114804
625.3,4.606282,2.092344
630.3,4.625401,2.069885
635.4,4.644489,2.047426
640.4,4.663545,2.024967
645.5,4.682570,2.002508
650.5,4.701335,1.979982
655.6,4.717988,1.956859
660.6,4.734558,1.933722
665.7,4.751044,1.910569
670.7,4.767446,1.887401
675.8,4.783764,1.864215
680.8,4.799998,1.841013
685.9,4.816148,1.817792
690.9,4.832213,1.794553
696.0,4.848194,1.771294
701.0,4.862089,1.748611
706.1,4.867948,1.728312
711.1,4.873805,1.708024
716.2,4.879661,1.687746
721.2,4.885517,1.667479
726.3,4.891372,1.647222
731.3,4.897225,1.626977
736.4,4.903078,1.606742
741.4,4.908929,1.586517
746.5,4.914779,1.566304
751.5,4.920085,1.545190
756.6,4.924121,1.521970
761.6,4.928151,1.498777
766.7,4.932175,1.475611
771.7,4.936192,1.452470
776.8,4.940202,1.429356
781.8,4.944206,1.406267
786.9,4.948202,1.383206
791.9,4.952190,1.360170
797.0,4.956172,1.337160
802.0,4.958192,1.316361
807.1,4.957277,1.298867
812.1,4.956358,1.281406
817.2,4.955434,1.263978
822.2,4.954506,1.246583
827.3,4.953572,1.229221
832.3,4.952633,1.211893
837.4,4.951689,1.194598
842.4,4.950740,1.177336
847.5,4.949785,1.160108
852.5,4.949756,1.143640
857.6,4.950639,1.127927
862.6,4.951498,1.112238
867.7,4.952332,1.096574
872.7,4.953140,1.080934
877.8,4.953923,1.065320
882.8,4.954680,1.049731
887.9,4.955412,1.034166
892.9,4.956118,1.018626
898.0,4.956798,1.003111
903.0,4.955787,0.989300
908.1,4.953663,0.976616
913.1,4.951539,0.963937
918.2,4.949416,0.951262
923.2,4.947293,0.938591
928.3,4.945172,0.925925
933.3,4.943051,0.913263
938.4,4.940930,0.900606
943.4,4.938811,0.887953
948.5,4.936692,0.875304
953.5,4.933508,0.862492
958.6,4.929858,0.849614
963.6,4.926199,0.836743
968.7,4.922529,0.823880
973.7,4.918849,0.811024
978.8,4.915158,0.798175
983.8,4.911457,0.785334
988.9,4.907746,0.772500
993.9,4.904023,0.759673
999.0,4.900290,0.746854
1004.0,4.897387,0.738188
1009.1,4.894700,0.730563
1014.1,4.892018,0.722942
1019.2,4.889342,0.715326
1024.2,4.886672,0.707714
1029.3,4.884008,0.700108
1034.3,4.881350,0.692505
1039.4,4.878698,0.684908
1044.4,4.876052,0.677314
1049.5,4.873412,0.669726
1054.5,4.871743,0.668083
1059.6,4.870179,0.667098
1064.6,4.868612,0.666111
1069.7,4.867043,0.665123
1074.7,4.865470,0.664132
1079.8,4.863895,0.663139
1084.8,4.862316,0.662144
1089.9,4.860735,0.661147
1094.9,4.859151,0.660148
1100.0,4.857565,0.659147
