Wavelength_nm,n_eff,k_eff
600.0,4.023164,0.890842
605.1,4.025338,0.872075
610.1,4.027513,0.853307
615.2,4.029687,0.834540
620.2,4.031861,0.815772
625.3,4.034035,0.797005
630.3,4.036210,0.778237
635.4,4.038384,0.759470
640.4,4.040558,0.740703
645.5,4.042732,0.721935
650.5,4.044050,0.703251
655.6,4.037656,0.685317
660.6,4.031262,0.667382
665.7,4.024868,0.649448
670.7,4.018474,0.631514
675.8,4.012080,0.613580
680.8,4.005686,0.595645
685.9,3.999292,0.577711
690.9,3.992898,0.559777
696.0,3.986505,0.541842
701.0,3.981168,0.525023
706.1,3.980062,0.512665
711.1,3.978955,0.500306
716.2,3.977849,0.487948
721.2,3.976743,0.475589
726.3,3.975636,0.463231
731.3,3.974530,0.450873
736.4,3.973423,0.438514
741.4,3.972317,0.426156
746.5,3.971211,0.413797
751.5,3.968974,0.401550
756.6,3.964099,0.389562
761.6,3.959223,0.377575
766.7,3.954348,0.365587
771.7,3.949473,0.353599
776.8,3.944598,0.341612
781.8,3.939723,0.329624
786.9,3.934848,0.317636
791.9,3.929973,0.305649
797.0,3.925098,0.293661
802.0,3.919004,0.284122
807.1,3.911081,0.278257
812.1,3.903158,0.272392
817.2,3.895235,0.266527
822.2,3.887313,0.260662
827.3,3.879390,0.254796
832.3,3.871467,0.248931
837.4,3.863544,0.243066
842.4,3.855621,0.237201
847.5,3.847699,0.231336
852.5,3.839510,0.225020
857.6,3.831055,0.218253
862.6,3.822600,0.211486
867.7,3.814145,0.204719
872.7,3.805691,0.197952
877.8,3.797236,0.191185
882.8,3.788781,0.184418
887.9,3.780326,0.177651
892.9,3.771872,0.170884
898.0,3.763417,0.164117
903.0,3.757459,0.157307
908.1,3.753165,0.150468
913.1,3.748871,0.143629
918.2,3.744578,0.136791
923.2,3.740284,0.129952
928.3,3.735990,0.123113
933.3,3.731697,0.116274
938.4,3.727403,0.109436
943.4,3.723109,0.102597
948.5,3.718816,0.095758
953.5,3.711501,0.088848
958.6,3.702891,0.081908
963.6,3.694281,0.074967
968.7,3.685671,0.068027
973.7,3.677061,0.061086
978.8,3.668451,0.054146
983.8,3.659841,0.047205
988.9,3.651231,0.040265
993.9,3.642621,0.033324
999.0,3.634011,0.026384
1004.0,3.629833,0.023630
1009.1,3.626762,0.021924
1014.1,3.623691,0.020217
1019.2,3.620620,0.018510
1024.2,3.617549,0.016803
1029.3,3.614478,0.015096
1034.3,3.611408,0.013389
1039.4,3.608337,0.011683
1044.4,3.605266,0.009976
1049.5,3.602195,0.008269
1054.5,3.598240,0.007362
1059.6,3.594188,0.006543
1064.6,3.590135,0.005725
1069.7,3.586082,0.004906
1074.7,3.582029,0.004088
1079.8,3.577977,0.003269
1084.8,3.573924,0.002451
1089.9,3.569871,0.001632
1094.9,3.565818,0.000814
1100.0,3.561766,-0.000005
