Wavelength_nm,n_eff,k_eff
600.0,4.497308,2.431934
605.1,4.519739,2.410907
610.1,4.542152,2.389877
615.2,4.564545,2.368844
620.2,4.586919,2.347808
625.3,4.609275,2.326769
630.3,4.631611,2.305727
635.4,4.653929,2.284681
640.4,4.676228,2.263632
645.5,4.698508,2.242578
650.5,4.720664,2.221533
655.6,4.741830,2.200584
660.6,4.762948,2.179617
665.7,4.784017,2.158630
670.7,4.805036,2.137623
675.8,4.826006,2.116595
680.8,4.846927,2.095545
685.9,4.867797,2.074474
690.9,4.888618,2.053380
696.0,4.909390,2.032263
701.0,4.927603,2.011148
706.1,4.935765,1.990130
711.1,4.943924,1.969119
716.2,4.952082,1.948114
721.2,4.960238,1.927116
726.3,4.968392,1.906124
731.3,4.976544,1.885139
736.4,4.984694,1.864161
741.4,4.992842,1.843189
746.5,5.000987,1.822224
751.5,5.008851,1.800250
756.6,5.016056,1.775920
761.6,5.023254,1.751606
766.7,5.030446,1.727307
771.7,5.037629,1.703025
776.8,5.044805,1.678758
781.8,5.051973,1.654508
786.9,5.059134,1.630273
791.9,5.066286,1.606054
797.0,5.073430,1.581851
802.0,5.078539,1.559732
807.1,5.080599,1.540734
812.1,5.082652,1.521757
817.2,5.084698,1.502800
822.2,5.086737,1.483864
827.3,5.088769,1.464950
832.3,5.090793,1.446056
837.4,5.092811,1.427183
842.4,5.094820,1.408332
847.5,5.096823,1.389502
852.5,5.099874,1.371863
857.6,5.103965,1.355407
862.6,5.108037,1.338965
867.7,5.112089,1.322537
872.7,5.116122,1.306122
877.8,5.120135,1.289721
882.8,5.124129,1.273333
887.9,5.128102,1.256959
892.9,5.132055,1.240599
898.0,5.135988,1.224253
903.0,5.136945,1.209455
908.1,5.135927,1.195686
913.1,5.134910,1.181920
918.2,5.133892,1.168158
923.2,5.132875,1.154398
928.3,5.131857,1.140641
933.3,5.130840,1.126887
938.4,5.129822,1.113136
943.4,5.128805,1.099389
948.5,5.127787,1.085644
953.5,5.126241,1.072026
958.6,5.124462,1.058464
963.6,5.122676,1.044906
968.7,5.120881,1.031352
973.7,5.119079,1.017802
978.8,5.117269,1.004255
983.8,5.115451,0.990712
988.9,5.113625,0.977174
993.9,5.111790,0.963639
999.0,5.109948,0.950108
1004.0,5.108048,0.940130
1009.1,5.106138,0.931043
1014.1,5.104232,0.921960
1019.2,5.102330,0.912880
1024.2,5.100431,0.903805
1029.3,5.098536,0.894733
1034.3,5.096645,0.885665
1039.4,5.094757,0.876601
1044.4,5.092873,0.867541
1049.5,5.090992,0.858484
1054.5,5.090052,0.857008
1059.6,5.089213,0.856372
1064.6,5.088373,0.855735
1069.7,5.087532,0.855096
1074.7,5.086688,0.854455
1079.8,5.085843,0.853813
1084.8,5.084996,0.853168
1089.9,5.084147,0.852522
1094.9,5.083297,0.851875
1100.0,5.082445,0.851225
