Wavelength_nm,n_eff,k_eff
600.0,4.455045,2.664428
605.1,4.480470,2.645584
610.1,4.505896,2.626740
615.2,4.531322,2.607896
620.2,4.556747,2.589052
625.3,4.582173,2.570208
630.3,4.607599,2.551364
635.4,4.633024,2.532519
640.4,4.658450,2.513675
645.5,4.683876,2.494831
650.5,4.709305,2.476116
655.6,4.734763,2.458563
660.6,4.760222,2.441010
665.7,4.785680,2.423457
670.7,4.811139,2.405904
675.8,4.836597,2.388351
680.8,4.862055,2.370798
685.9,4.887514,2.353245
690.9,4.912972,2.335691
696.0,4.938431,2.318138
701.0,4.960973,2.299838
706.1,4.971847,2.278548
711.1,4.982722,2.257258
716.2,4.993597,2.235968
721.2,5.004471,2.214678
726.3,5.015346,2.193388
731.3,5.026221,2.172098
736.4,5.037096,2.150808
741.4,5.047970,2.129518
746.5,5.058845,2.108228
751.5,5.069761,2.085878
756.6,5.080772,2.061054
761.6,5.091783,2.036231
766.7,5.102794,2.011407
771.7,5.113805,1.986584
776.8,5.124816,1.961760
781.8,5.135827,1.936937
786.9,5.146838,1.912113
791.9,5.157849,1.887290
797.0,5.168860,1.862466
802.0,5.177797,1.839576
807.1,5.183621,1.819585
812.1,5.189445,1.799593
817.2,5.195269,1.779602
822.2,5.201094,1.759611
827.3,5.206918,1.739620
832.3,5.212742,1.719628
837.4,5.218566,1.699637
842.4,5.224391,1.679646
847.5,5.230215,1.659654
852.5,5.237136,1.641388
857.6,5.245154,1.624847
862.6,5.253171,1.608307
867.7,5.261189,1.591766
872.7,5.269207,1.575225
877.8,5.277225,1.558684
882.8,5.285243,1.542143
887.9,5.293261,1.525602
892.9,5.301278,1.509061
898.0,5.309296,1.492520
903.0,5.312815,1.477017
908.1,5.313336,1.462206
913.1,5.313856,1.447395
918.2,5.314376,1.432584
923.2,5.314897,1.417772
928.3,5.315417,1.402961
933.3,5.315937,1.388150
938.4,5.316458,1.373339
943.4,5.316978,1.358528
948.5,5.317498,1.343717
953.5,5.318084,1.329537
958.6,5.318698,1.315627
963.6,5.319311,1.301717
968.7,5.319925,1.287808
973.7,5.320539,1.273898
978.8,5.321152,1.259988
983.8,5.321766,1.246079
988.9,5.322380,1.232169
993.9,5.322994,1.218260
999.0,5.323607,1.204350
1004.0,5.323231,1.192998
1009.1,5.322607,1.182285
1014.1,5.321983,1.171572
1019.2,5.321359,1.160859
1024.2,5.320735,1.150146
1029.3,5.320111,1.139433
1034.3,5.319488,1.128720
1039.4,5.318864,1.118007
1044.4,5.318240,1.107294
1049.5,5.317616,1.096581
1054.5,5.317553,1.095510
1059.6,5.317553,1.095510
1064.6,5.317553,1.095510
1069.7,5.317553,1.095510
1074.7,5.317553,1.095510
1079.8,5.317553,1.095510
1084.8,5.317553,1.095510
1089.9,5.317553,1.095510
1094.9,5.317553,1.095510
1100.0,5.317553,1.095510
