Wavelength_nm,n_eff,k_eff
600.0,4.193274,1.128860
605.1,4.197958,1.108075
610.1,4.202633,1.087304
615.2,4.207299,1.066547
620.2,4.211955,1.045804
625.3,4.216601,1.025074
630.3,4.221237,1.004357
635.4,4.225863,0.983653
640.4,4.230480,0.962962
645.5,4.235086,0.942283
650.5,4.238902,0.921610
655.6,4.235677,0.900910
660.6,4.232421,0.880237
665.7,4.229133,0.859591
670.7,4.225813,0.838971
675.8,4.222462,0.818376
680.8,4.219079,0.797806
685.9,4.215665,0.777260
690.9,4.212219,0.756737
696.0,4.208742,0.736238
701.0,4.205827,0.717054
706.1,4.205278,0.703058
711.1,4.204731,0.689065
716.2,4.204188,0.675075
721.2,4.203648,0.661088
726.3,4.203111,0.647105
731.3,4.202577,0.633125
736.4,4.202046,0.619149
741.4,4.201518,0.605176
746.5,4.200993,0.591207
751.5,4.199341,0.577157
756.6,4.195059,0.562918
761.6,4.190783,0.548688
766.7,4.186514,0.534468
771.7,4.182250,0.520257
776.8,4.177991,0.506057
781.8,4.173738,0.491866
786.9,4.169490,0.477685
791.9,4.165248,0.463514
797.0,4.161010,0.449354
802.0,4.155400,0.437659
807.1,4.147731,0.429660
812.1,4.140069,0.421671
817.2,4.132414,0.413694
822.2,4.124767,0.405729
827.3,4.117126,0.397774
832.3,4.109493,0.389832
837.4,4.101866,0.381900
842.4,4.094247,0.373980
847.5,4.086633,0.366072
852.5,4.078986,0.357808
857.6,4.071301,0.349188
862.6,4.063613,0.340583
867.7,4.055924,0.331990
872.7,4.048233,0.323411
877.8,4.040539,0.314845
882.8,4.032844,0.306292
887.9,4.025146,0.297753
892.9,4.017446,0.289226
898.0,4.009744,0.280713
903.0,4.004110,0.272622
908.1,3.999856,0.264809
913.1,3.995604,0.256997
918.2,3.991353,0.249185
923.2,3.987103,0.241375
928.3,3.982854,0.233566
933.3,3.978606,0.225759
938.4,3.974359,0.217952
943.4,3.970113,0.210147
948.5,3.965868,0.202343
953.5,3.958820,0.194330
958.6,3.950568,0.186231
963.6,3.942315,0.178136
968.7,3.934060,0.170046
973.7,3.925803,0.161960
978.8,3.917545,0.153878
983.8,3.909285,0.145801
988.9,3.901023,0.137728
993.9,3.892760,0.129659
999.0,3.884494,0.121594
1004.0,3.880208,0.117964
1009.1,3.876918,0.115444
1014.1,3.873632,0.112923
1019.2,3.870347,0.110403
1024.2,3.867066,0.107883
1029.3,3.863787,0.105363
1034.3,3.860510,0.102843
1039.4,3.857236,0.100324
1044.4,3.853965,0.097805
1049.5,3.850696,0.095287
1054.5,3.846966,0.094144
1059.6,3.843183,0.093154
1064.6,3.839399,0.092164
1069.7,3.835613,0.091174
1074.7,3.831827,0.090183
1079.8,3.828040,0.089193
1084.8,3.824251,0.088203
1089.9,3.820461,0.087212
1094.9,3.816670,0.086221
1100.0,3.812878,0.085231
