Wavelength_nm,n_eff,k_eff
600.0,4.463010,1.784031
605.1,4.476259,1.760634
610.1,4.489473,1.737252
615.2,4.502651,1.713886
620.2,4.515793,1.690536
625.3,4.528899,1.667200
630.3,4.541969,1.643879
635.4,4.555004,1.620571
640.4,4.568003,1.597277
645.5,4.580965,1.573996
650.5,4.593427,1.550607
655.6,4.601631,1.526159
660.6,4.609735,1.501730
665.7,4.617738,1.477318
670.7,4.625642,1.452923
675.8,4.633446,1.428543
680.8,4.641150,1.404179
685.9,4.648754,1.379828
690.9,4.656260,1.355491
696.0,4.663666,1.331166
701.0,4.670022,1.308072
706.1,4.672537,1.289863
711.1,4.675055,1.271666
716.2,4.677577,1.253480
721.2,4.680101,1.235306
726.3,4.682629,1.217144
731.3,4.685159,1.198994
736.4,4.687693,1.180856
741.4,4.690229,1.162729
746.5,4.692767,1.144615
751.5,4.694413,1.125887
756.6,4.693975,1.105727
761.6,4.693540,1.085596
766.7,4.693108,1.065495
771.7,4.692678,1.045425
776.8,4.692250,1.025384
781.8,4.691824,1.005374
786.9,4.691399,0.985393
791.9,4.690975,0.965443
797.0,4.690553,0.945523
802.0,4.688368,0.927979
807.1,4.683546,0.913989
812.1,4.678729,0.900034
817.2,4.673918,0.886115
822.2,4.669113,0.872232
827.3,4.664313,0.858385
832.3,4.659518,0.844575
837.4,4.654728,0.830800
842.4,4.649943,0.817062
847.5,4.645162,0.803360
852.5,4.640974,0.789825
857.6,4.637362,0.776456
862.6,4.633732,0.763120
867.7,4.630084,0.749816
872.7,4.626417,0.736544
877.8,4.622731,0.723306
882.8,4.619027,0.710099
887.9,4.615303,0.696926
892.9,4.611561,0.683784
898.0,4.607799,0.670674
903.0,4.604226,0.659025
908.1,4.600789,0.648337
913.1,4.597354,0.637653
918.2,4.593922,0.626973
923.2,4.590491,0.616298
928.3,4.587062,0.605626
933.3,4.583634,0.594959
938.4,4.580209,0.584296
943.4,4.576785,0.573638
948.5,4.573363,0.562983
953.5,4.568041,0.551962
958.6,4.561895,0.540792
963.6,4.555742,0.529631
968.7,4.549580,0.518481
973.7,4.543410,0.507340
978.8,4.537231,0.496209
983.8,4.531044,0.485089
988.9,4.524848,0.473978
993.9,4.518643,0.462878
999.0,4.512430,0.451787
1004.0,4.508499,0.445327
1009.1,4.505148,0.440026
1014.1,4.501803,0.434728
1019.2,4.498465,0.429433
1024.2,4.495134,0.424140
1029.3,4.491810,0.418851
1034.3,4.488493,0.413566
1039.4,4.485183,0.408283
1044.4,4.481879,0.403003
1049.5,4.478583,0.397727
1054.5,4.475871,0.396114
1059.6,4.473219,0.394906
1064.6,4.470565,0.393698
1069.7,4.467908,0.392488
1074.7,4.465247,0.391277
1079.8,4.462583,0.390064
1084.8,4.459916,0.388851
1089.9,4.457246,0.387636
1094.9,4.454572,0.386419
1100.0,4.451896,0.385202
